Date,Previous Settlement
2018-03-10,97.2275
2018-03-09,97.2275
2018-03-08,97.21
2018-03-07,97.22
2018-03-06,97.195
2018-03-05,97.27
2018-03-03,97.28
2018-03-02,97.28
2018-03-01,97.26
2018-02-28,97.205
2018-02-27,97.255
2018-02-26,97.235
2018-02-24,97.165
2018-02-23,97.165
2018-02-22,97.135
2018-02-21,97.145
2018-02-20,97.105
2018-02-19,97.12
2018-02-17,97.08
2018-02-16,97.08
2018-02-15,97.085
2018-02-14,97.155
2018-02-13,97.13
2018-02-12,97.095
2018-02-10,97.145
2018-02-09,97.145
2018-02-08,97.115
2018-02-07,97.18
2018-02-06,97.18
2018-02-03,97.17
2018-02-02,97.17
2018-02-01,97.195
2018-01-31,97.185
2018-01-30,97.145
2018-01-27,97.17
2018-01-26,97.17
2018-01-25,97.15
2018-01-24,97.17
2018-01-23,97.165
2018-01-22,97.135
2018-01-20,97.13
2018-01-19,97.13
2018-01-18,97.185
2018-01-17,97.21
2018-01-16,97.225
2018-01-15,97.23
2018-01-13,97.245
2018-01-12,97.245
2018-01-11,97.265
2018-01-10,97.28
2018-01-09,97.325
2018-01-08,97.35
2018-01-06,97.36
2018-01-05,97.36
2018-01-04,97.32
2018-01-03,97.285
2018-01-02,97.315
2018-01-01,97.34
2017-12-30,97.34
2017-12-29,97.34
2017-12-28,97.305
2017-12-27,97.28
2017-12-26,97.26
2017-12-25,97.26
2017-12-23,97.26
2017-12-22,97.26
2017-12-21,97.305
2017-12-20,97.335
2017-12-19,97.395
2017-12-18,97.44
2017-12-16,97.445
2017-12-15,97.445
2017-12-14,97.4225
2017-12-13,97.455
2017-12-12,97.46
2017-12-11,97.425
2017-12-09,97.455
2017-12-08,97.455
2017-12-07,97.47
2017-12-06,97.475
2017-12-05,97.385
2017-12-04,97.44
2017-12-02,97.45
2017-12-01,97.45
2017-11-30,97.485
2017-11-29,97.515
2017-11-28,97.49
2017-11-27,97.46
2017-11-25,97.48
2017-11-24,97.48
2017-11-23,97.475
2017-11-22,97.46
2017-11-21,97.435
2017-11-20,97.44
2017-11-18,97.41
2017-11-17,97.41
2017-11-16,97.4
2017-11-15,97.395
2017-11-14,97.325
2017-11-13,97.36
2017-11-11,97.37
2017-11-10,97.37
2017-11-09,97.385
2017-11-08,97.41
2017-11-07,97.4
2017-11-06,97.415
2017-11-04,97.41
2017-11-03,97.41
2017-11-02,97.325
2017-11-01,97.275
2017-10-31,97.31
2017-10-30,97.245
2017-10-28,97.2
2017-10-27,97.2
2017-10-26,97.22
2017-10-25,97.215
2017-10-24,97.2
2017-10-23,97.175
2017-10-21,97.195
2017-10-20,97.195
2017-10-19,97.21
2017-10-18,97.25
2017-10-17,97.21
2017-10-16,97.225
2017-10-14,97.18
2017-10-13,97.18
2017-10-12,97.17
2017-10-11,97.155
2017-10-10,97.14
2017-10-09,97.15
2017-10-07,97.155
2017-10-06,97.155
2017-10-05,97.19
2017-10-04,97.165
2017-10-03,97.13
2017-10-02,97.1
2017-09-30,97.13
2017-09-29,97.13
2017-09-28,97.11
2017-09-27,97.185
2017-09-26,97.2
2017-09-25,97.17
2017-09-23,97.175
2017-09-22,97.175
2017-09-21,97.14
2017-09-20,97.14
2017-09-19,97.155
2017-09-18,97.17
2017-09-16,97.2275
2017-09-15,97.2275
2017-09-14,97.275
2017-09-13,97.33
2017-09-12,97.36
2017-09-11,97.3975
2017-09-09,97.425
2017-09-08,97.425
2017-09-07,97.365
2017-09-06,97.405
2017-09-05,97.33
2017-09-04,97.38
2017-09-02,97.345
2017-09-01,97.345
